split,mode1,mode2,linear_cka,rkernel_cka
1,fl,bf,0.374019534364624,0.4700667159810549
1,fl,cp_all,0.24748521979918894,0.3349782988604837
1,fl,cp_AreaShape,0.16846873464146797,0.25822880074979243
1,fl,cp_Correlation,0.2528944981526855,0.3597474977715993
1,fl,cp_Granularity,0.22151407620404528,0.3095149714497012
1,fl,cp_Intensity,0.19471536873277961,0.3261718618490401
1,fl,cp_Neighbors,0.21544010788081128,0.23780629394763553
1,fl,cp_RadialDistribution,0.1928458176129385,0.29720617581124786
1,bf,cp_all,0.26750371325349553,0.43667989913402755
1,bf,cp_AreaShape,0.1715995649918554,0.34880052551290336
1,bf,cp_Correlation,0.2498289591828897,0.42310975680849444
1,bf,cp_Granularity,0.28265307809821033,0.43565578559603624
1,bf,cp_Intensity,0.19569984174662977,0.3694949341768888
1,bf,cp_Neighbors,0.31646888625212566,0.3829765839645872
1,bf,cp_RadialDistribution,0.20462048956882734,0.39610272671258373
2,fl,bf,0.4861877541716516,0.5357738173775785
2,fl,cp_all,0.2809751936411698,0.3970449456891342
2,fl,cp_AreaShape,0.1925533022855401,0.30032947816352806
2,fl,cp_Correlation,0.2957682731821449,0.40537162389937104
2,fl,cp_Granularity,0.25906890831490353,0.3647535304115185
2,fl,cp_Intensity,0.2173476735852359,0.3740650571720281
2,fl,cp_Neighbors,0.2666350692757102,0.2919400375172442
2,fl,cp_RadialDistribution,0.21857595692007892,0.3432252479049855
2,bf,cp_all,0.32377508600110994,0.46333784492575786
2,bf,cp_AreaShape,0.24587837355935224,0.3846139259886567
2,bf,cp_Correlation,0.3217357913031752,0.43464352301663156
2,bf,cp_Granularity,0.3144019356361725,0.45088524533287183
2,bf,cp_Intensity,0.23564786958285466,0.3942634868004963
2,bf,cp_Neighbors,0.3745835763132871,0.4169056585045066
2,bf,cp_RadialDistribution,0.25011848929601227,0.4090358590541921
3,fl,bf,0.42556494429871633,0.47310250708096063
3,fl,cp_all,0.23703227280338376,0.3579446992282067
3,fl,cp_AreaShape,0.16767688741164924,0.26179823135466274
3,fl,cp_Correlation,0.23173548915421716,0.3634091392770396
3,fl,cp_Granularity,0.23379417285547546,0.32296992133939356
3,fl,cp_Intensity,0.18005520886311893,0.3071659270393759
3,fl,cp_Neighbors,0.24393800285963707,0.29620192494850367
3,fl,cp_RadialDistribution,0.16428908456212757,0.3072506835805739
3,bf,cp_all,0.29930319515635334,0.4193532078323832
3,bf,cp_AreaShape,0.23377712001485199,0.3345447528659426
3,bf,cp_Correlation,0.2691718718605469,0.3700186557028553
3,bf,cp_Granularity,0.30433888075734367,0.3978592543579664
3,bf,cp_Intensity,0.19742168831029602,0.3262956727080727
3,bf,cp_Neighbors,0.35648902896590096,0.37371034268188946
3,bf,cp_RadialDistribution,0.2136671164631253,0.3720333762357677
4,fl,bf,0.4072882545876445,0.466133275336905
4,fl,cp_all,0.23797258844326116,0.3328589806158784
4,fl,cp_AreaShape,0.17467626512277137,0.2634636984280081
4,fl,cp_Correlation,0.24411670175393863,0.3357841839344375
4,fl,cp_Granularity,0.20928194594129665,0.3002279772616151
4,fl,cp_Intensity,0.18116248364355322,0.3189896923016135
4,fl,cp_Neighbors,0.199866637743521,0.23287640461644984
4,fl,cp_RadialDistribution,0.17322698203743755,0.27683646611484813
4,bf,cp_all,0.3000507693571596,0.4116587996457105
4,bf,cp_AreaShape,0.25137657352078613,0.3626146540114323
4,bf,cp_Correlation,0.264159796143001,0.36003276612712537
4,bf,cp_Granularity,0.29208892905751105,0.403835378757841
4,bf,cp_Intensity,0.21075496123385246,0.3610126104292525
4,bf,cp_Neighbors,0.3210850016402262,0.3467494434715518
4,bf,cp_RadialDistribution,0.21775471470165852,0.3508319444250933
5,fl,bf,0.47134560756733623,0.5240084839851737
5,fl,cp_all,0.31306090354229,0.4327822092817941
5,fl,cp_AreaShape,0.18705810730408354,0.31631204732220414
5,fl,cp_Correlation,0.3031421266001194,0.4501494227601311
5,fl,cp_Granularity,0.2545782300344608,0.38195592547576146
5,fl,cp_Intensity,0.24751656929926996,0.3887707566232478
5,fl,cp_Neighbors,0.25097952255758327,0.32174964720974286
5,fl,cp_RadialDistribution,0.24589908479104147,0.37892909356067367
5,bf,cp_all,0.27594140281294127,0.4326913846097135
5,bf,cp_AreaShape,0.1898309040996181,0.348338801955266
5,bf,cp_Correlation,0.2679294181630113,0.40617354745101414
5,bf,cp_Granularity,0.25218088185018955,0.41115057208785427
5,bf,cp_Intensity,0.2047821309917596,0.36176791793671426
5,bf,cp_Neighbors,0.3433969163342469,0.3913995182511853
5,bf,cp_RadialDistribution,0.20385436024306128,0.38416032186251753
